"Specimen width",5.97,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.10332
-2.7163e-05,0.108332
-2.7163e-05,0.102147
-2.7163e-05,0.0880345
-2.7163e-05,0.104171
0.00420751,0.10961
0.0154532,0.110526
0.0266608,0.12
0.0385627,0.123151
0.0497016,0.131993
0.0614356,0.147786
0.0745582,0.153912
0.0853919,0.15209
0.0966987,0.155233
0.109394,0.160123
0.122883,0.17198
0.136921,0.188459
0.151142,0.193399
0.161457,0.200843
0.171833,0.216132
0.182423,0.22045
0.193561,0.222648
0.205097,0.240714
0.216724,0.246513
0.228657,0.254325
0.241291,0.264747
0.254291,0.273627
0.267597,0.277274
0.281666,0.294364
0.295643,0.299258
0.310108,0.306705
0.32436,0.314723
0.339558,0.335292
0.355213,0.342166
0.370502,0.354434
0.386127,0.369311
0.401997,0.378192
0.417805,0.384067
0.433613,0.391814
0.450458,0.411132
0.467853,0.417296
0.484638,0.427878
0.501606,0.427116
0.518024,0.434348
0.53487,0.435112
0.55135,0.453544
0.568073,0.466026
0.585102,0.478599
0.60152,0.500755
0.617695,0.514732
0.63335,0.512516
0.650318,0.519638
0.667347,0.539047
0.684559,0.545298
0.701649,0.550474
0.719044,0.570005
0.735828,0.58563
0.752125,0.594724
0.768299,0.604772
0.785084,0.615545
0.801929,0.632238
0.818226,0.644201
0.834827,0.659276
0.850819,0.676641
0.867115,0.68913
0.883655,0.689634
0.900623,0.701017
0.917957,0.700712
0.935108,0.698072
0.95232,0.706342
0.968738,0.721479
0.985096,0.722578
1.00127,0.738631
1.01818,0.761031
1.03496,0.765776
1.05187,0.785307
1.06829,0.810271
1.08434,0.811858
1.10106,0.821684
1.11785,0.844878
1.13427,0.842253
1.15087,0.843626
1.1682,0.860259
1.18462,0.862664
1.20116,0.864738
1.21752,0.875816
1.23436,0.898735
1.25145,0.915153
1.2683,0.926925
1.28521,0.948287
1.30101,0.963149
1.31731,0.965179
1.33385,0.967559
1.351,0.981658
1.36858,0.985321
1.38567,0.997283
1.40221,1.00693
1.41838,1.01602
1.4348,1.01881
1.45177,1.02732
