"Specimen width",5.97,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0741562
-1.13687e-13,0.0607552
-2.7163e-05,0.0694088
-2.7163e-05,0.0780787
-2.7163e-05,0.0782313
0.00227834,0.0807175
0.0132799,0.0792984
0.0242739,0.0524964
0.0353518,0.0662393
0.0454836,0.0691385
0.057004,0.0764283
0.0702028,0.0802659
0.0803347,0.0805988
0.091321,0.0793094
0.103314,0.0649204
0.115979,0.0574436
0.129682,0.0593528
0.144452,0.0623149
0.154462,0.0630559
0.164655,0.0691747
0.175244,0.0629949
0.1862,0.0619573
0.197156,0.0584783
0.208447,0.0572481
0.220288,0.0666169
0.232282,0.0746278
0.244977,0.087552
0.258588,0.0861463
0.272473,0.0834455
0.286359,0.080058
0.300458,0.0728864
0.314038,0.0620221
0.328412,0.0562238
0.343183,0.0580549
0.358716,0.0489606
0.374707,0.0594358
0.390515,0.0591153
0.407361,0.0610608
0.423474,0.0710859
0.439191,0.0823316
0.455243,0.0731153
0.472089,0.0781659
0.489301,0.0759267
0.506269,0.070403
0.523419,0.0610647
0.539533,0.0573606
0.555951,0.0560788
0.572858,0.0462598
0.59068,0.0550489
0.607892,0.0469503
0.624066,0.0526571
0.640119,0.0746908
0.655805,0.0970907
0.67204,0.0970029
0.688886,0.0985441
0.705853,0.0881833
0.723004,0.0585813
0.74046,0.0543851
0.757062,0.0475797
0.773602,0.0625943
0.78996,0.0696439
0.806745,0.0781431
0.82359,0.0770063
0.84007,0.064784
0.856732,0.0695218
0.872602,0.0775556
0.888898,0.078864
0.905499,0.08187
0.922772,0.0967931
0.939862,0.0976199
0.956891,0.0924396
0.973859,0.0890292
0.990277,0.0812129
1.00657,0.076559
1.0233,0.045309
1.04027,0.0483836
1.05674,0.0558223
1.07371,0.0651132
1.08995,0.0765268
1.10594,0.0954477
1.12159,0.0986673
1.13838,0.0969278
1.15553,0.0954325
1.17244,0.0883066
1.19001,0.0868875
1.20668,0.0875742
1.22365,0.0865366
1.24025,0.0831491
1.25721,0.0836069
1.27394,0.0855448
1.29048,0.0900614
1.30708,0.0902445
1.32283,0.0891382
1.33888,0.0926325
1.35554,0.102139
1.37245,0.0994226
1.38942,0.0957987
1.40669,0.10648
1.42347,0.103214
1.44001,0.0910379
1.45649,0.0827524
1.4734,0.0867807
1.49031,0.0933267
1.50667,0.0872232
1.52351,0.10474
1.53962,0.107731
1.55598,0.11327
1.57228,0.0997507
1.58925,0.0976145
1.60634,0.0832559
1.62324,0.0837747
1.64015,0.087208
1.65645,0.083378
1.67292,0.0956461
1.68953,0.0981809
1.70637,0.11022
1.72316,0.0977995
1.74025,0.103906
1.7566,0.0984432
1.7729,0.112695
1.78932,0.100793
1.8061,0.0993282
1.8235,0.104425
1.84022,0.103494
1.85664,0.0981838
1.87318,0.104348
1.88966,0.114389
1.90638,0.116037
1.92378,0.118432
1.94075,0.0985042
1.95735,0.0909969
1.9734,0.105371
1.98881,0.103027
2.00486,0.110198
2.02147,0.1109
2.03892,0.123641
2.05626,0.0997764
2.07365,0.0995399
2.09031,0.0959923
2.10643,0.115846
2.12266,0.113999
2.13957,0.108231
2.15684,0.108262
2.17338,0.0943535
2.19017,0.104058
2.20604,0.100243
2.22221,0.12716
2.23839,0.116677
2.25542,0.138162
2.27269,0.117196
2.28972,0.107858
2.30699,0.098153
2.32316,0.0997017
2.33995,0.11667
2.35722,0.112321
2.37456,0.109513
2.39152,0.116608
2.40788,0.132661
2.42296,0.106233
2.43901,0.112428
2.45524,0.133424
2.47209,0.124581
2.48918,0.118382
2.50615,0.111546
2.52336,0.110204
2.53984,0.0914963
2.55662,0.0955361
2.57304,0.0829934
2.59007,0.0928734
2.6071,0.0853814
2.62358,0.0871056
2.64006,0.0795892
2.65605,0.102538
2.67161,0.108352
2.68791,0.113391
2.70622,0.117977
2.72392,0.110225
2.74107,0.102504
2.75743,0.0895036
2.77379,0.081302
2.79069,0.0871156
2.80772,0.0996088
2.82356,0.100158
2.83967,0.0876535
2.8567,0.105537
2.87269,0.105903
2.88862,0.105125
2.90498,0.0957101
2.92213,0.121589
2.93922,0.116752
2.95582,0.106651
2.97279,0.121024
2.98903,0.117668
3.00575,0.106246
3.02345,0.100078
3.04152,0.108959
3.05812,0.0806993
3.07454,0.0946306
3.09053,0.11642
3.10594,0.127956
3.12163,0.136073
3.13847,0.148944
3.15568,0.147144
3.17259,0.114826
3.18986,0.109302
3.20659,0.0872072
3.22362,0.0911974
3.2401,0.0843156
3.25688,0.094436
3.27366,0.0994295
3.29008,0.0930055
3.30699,0.0985292
3.32268,0.100086
3.33833,0.106478
3.35463,0.108691
3.37239,0.130907
3.39027,0.117174
3.40767,0.116534
3.42476,0.116442
3.44111,0.11278
3.45689,0.12076
3.4727,0.106646
3.48949,0.113833
3.50609,0.103548
3.52299,0.108446
3.53917,0.108607
3.55516,0.136744
3.57139,0.138842
3.58836,0.137129
3.60649,0.123976
3.62456,0.108443
3.64146,0.113612
3.65718,0.0986274
3.67311,0.121027
3.68959,0.122019
3.70662,0.136271
3.72352,0.125502
3.73994,0.131102
3.75661,0.125988
3.7729,0.132237
3.78908,0.134919
3.80592,0.132614
3.82313,0.138283
3.8401,0.129662
3.85713,0.140493
3.87349,0.128408
3.88954,0.120443
3.90602,0.116598
3.92317,0.118566
3.94008,0.115107
3.9565,0.117122
3.9734,0.133418
3.98945,0.134745
4.00575,0.145274
4.02217,0.142611
4.03938,0.140765
4.05623,0.123767
4.07313,0.117831
4.09022,0.114566
4.10652,0.114486
4.123,0.122374
4.13966,0.125102
4.15694,0.126994
4.17396,0.105632
4.19063,0.101863
4.20656,0.104033
4.22255,0.114714
4.23891,0.126712
4.25587,0.138499
4.27302,0.137027
4.29005,0.13016
4.30714,0.113955
4.32344,0.0901517
4.3401,0.0897854
4.35658,0.0903805
4.37355,0.0973786
4.39021,0.112714
4.40675,0.137006
4.42311,0.148587
4.43904,0.149472
4.45515,0.141553
4.47163,0.131513
4.48878,0.124863
4.50593,0.119879
4.52363,0.124823
4.5403,0.12731
4.55726,0.15148
4.57381,0.150452
4.59059,0.150055
4.60737,0.157761
4.62355,0.155647
4.64003,0.14135
4.6559,0.14555
4.67219,0.154324
4.68867,0.15292
4.70582,0.15147
4.72316,0.146175
4.74025,0.149773
4.75709,0.136925
4.77357,0.127098
4.78993,0.135407
4.80653,0.143784
4.82374,0.151215
4.84041,0.158173
4.85713,0.167481
4.8733,0.165344
4.8893,0.159512
4.90553,0.151455
4.92219,0.14172
4.9391,0.138058
4.95582,0.148296
4.97304,0.154293
4.98933,0.138058
5.00648,0.154106
5.02315,0.142174
5.04017,0.13131
5.0569,0.122559
5.07332,0.153931
5.08986,0.153229
5.10579,0.168549
5.12202,0.180412
5.13875,0.185898
5.15596,0.168602
5.17305,0.151856
5.19026,0.158005
5.20662,0.141831
5.22298,0.138352
5.23939,0.140168
5.25673,0.158715
5.27412,0.145745
5.29103,0.151391
5.30757,0.162896
5.32326,0.165551
5.33931,0.165368
5.35585,0.173951
5.37282,0.178513
5.39003,0.170594
5.40706,0.168488
5.42378,0.163735
5.43959,0.161233
5.45601,0.156197
5.47298,0.14774
5.49007,0.152829
5.50661,0.149655
5.52351,0.148194
5.53999,0.147736
5.55617,0.16272
5.5724,0.159325
5.58906,0.159325
5.60628,0.161797
5.62306,0.142357
5.64046,0.143899
5.65724,0.129342
5.67403,0.139931
5.6902,0.136208
5.70668,0.168007
5.72298,0.162018
5.73933,0.174317
5.75612,0.17554
5.77211,0.178256
5.78834,0.167788
5.80507,0.177498
5.82216,0.182618
5.83919,0.172249
5.85683,0.165719
5.87392,0.163148
5.89082,0.160238
5.90718,0.159578
5.92409,0.157351
5.94093,0.163134
5.95747,0.157305
5.97401,0.172472
5.98942,0.169848
6.00517,0.179308
6.02183,0.181505
6.03874,0.18947
6.0562,0.173876
6.07329,0.172136
6.09044,0.171382
6.10686,0.16772
6.12309,0.183787
6.13975,0.175029
6.15703,0.173859
6.17393,0.167648
6.19047,0.172966
6.20628,0.162743
6.22227,0.171439
6.23863,0.201591
6.25542,0.203925
6.2725,0.19879
6.2902,0.181853
6.30777,0.183348
6.32407,0.155455
6.33988,0.157774
