"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0899872
-5.43259e-05,0.0968193
-5.43259e-05,0.0928444
-8.14889e-05,0.0869278
8.14702e-05,0.0970597
0.00855391,0.105559
0.0190367,0.102908
0.0311446,0.114695
0.0433668,0.117098
0.0547194,0.117556
0.0672163,0.115677
0.0776228,0.135819
0.0888991,0.122269
0.10077,0.116589
0.112733,0.120087
0.126008,0.138947
0.140748,0.138836
0.151033,0.139374
0.161348,0.153809
0.172073,0.144417
0.182968,0.154125
0.194077,0.158821
0.205856,0.163414
0.217484,0.164717
0.229172,0.17494
0.241348,0.17491
0.254135,0.167006
0.26796,0.178816
0.282089,0.168821
0.295914,0.156462
0.309952,0.154509
0.324387,0.159559
0.338303,0.146803
0.353256,0.150583
0.36879,0.163889
0.384903,0.173395
0.401566,0.185816
0.417984,0.200266
0.435074,0.206942
0.451065,0.223559
0.467484,0.223314
0.484146,0.219857
0.501541,0.218758
0.518692,0.212777
0.535294,0.203324
0.551895,0.209221
0.567825,0.22149
0.584122,0.224832
0.600662,0.235178
0.617935,0.25123
0.634842,0.254816
0.65181,0.26272
0.668472,0.274316
0.684769,0.292535
0.701004,0.277521
0.717911,0.283517
0.735245,0.275735
0.751846,0.278331
0.768692,0.271648
0.784744,0.281063
0.801163,0.278621
0.817703,0.283641
0.834549,0.293026
0.851151,0.302444
0.867264,0.315383
0.884171,0.339187
0.900894,0.346962
0.91774,0.347938
0.934891,0.334846
0.951798,0.336889
0.968521,0.318639
0.985245,0.324087
1.0013,0.317998
1.01723,0.340948
1.0334,0.346113
1.05025,0.358198
1.06789,0.371802
1.08498,0.372961
1.10219,0.378607
1.11836,0.371512
1.13484,0.386351
1.15114,0.378584
1.16774,0.392897
1.18459,0.385212
1.2018,0.392918
1.21864,0.380726
1.23488,0.373928
1.25118,0.381741
1.26723,0.384503
1.28401,0.398022
1.30104,0.411984
1.31807,0.437069
1.33473,0.433232
1.35127,0.437748
1.36794,0.441243
1.38454,0.433823
1.40126,0.430649
1.41841,0.434525
1.43526,0.439591
1.45125,0.426529
1.46803,0.437554
1.48433,0.436798
1.50087,0.442341
1.5179,0.45171
1.53462,0.470906
1.55177,0.486271
1.56825,0.494801
1.58455,0.500477
1.60091,0.49802
1.61794,0.488691
1.63515,0.467695
1.65187,0.466139
1.66792,0.476271
1.68373,0.483549
1.69997,0.500944
1.71712,0.515043
1.73494,0.525091
1.75203,0.522558
1.76894,0.53356
1.78505,0.525747
1.80141,0.540426
1.81819,0.546225
1.83479,0.547064
1.8517,0.547674
1.868,0.558691
1.88411,0.559362
1.9001,0.556433
1.91689,0.552404
1.93343,0.548666
1.95076,0.557928
1.96809,0.55652
1.98555,0.58423
2.00203,0.608217
2.01799,0.621553
2.03459,0.619844
2.0515,0.613985
2.06853,0.607454
2.08464,0.583651
2.10112,0.585474
2.1179,0.593103
2.13438,0.615442
2.15068,0.610682
2.1674,0.63833
2.18462,0.645044
2.2014,0.645525
2.21855,0.646837
2.23473,0.644793
2.25139,0.647264
2.26793,0.650797
2.2849,0.658182
2.30162,0.658258
2.31822,0.663266
2.33464,0.660832
2.35082,0.662099
2.36705,0.669423
2.3839,0.666059
2.40111,0.681714
2.41795,0.701917
2.43523,0.713346
2.45165,0.712232
2.46812,0.732617
2.48473,0.722947
2.50182,0.705064
2.51909,0.696351
2.53532,0.694093
2.5518,0.693147
2.56773,0.699891
2.58409,0.716767
2.60063,0.721482
2.6179,0.732102
2.63493,0.734345
2.65178,0.743272
2.66875,0.742265
2.68529,0.741658
2.70183,0.742116
2.71904,0.739278
2.73601,0.740026
2.75142,0.738461
2.76711,0.755489
2.78346,0.755184
2.80006,0.771938
2.8166,0.765354
2.83321,0.777523
2.85078,0.772823
2.86836,0.787823
2.88564,0.786705
2.90157,0.796379
2.91756,0.799568
2.93355,0.814308
2.95003,0.800583
2.96754,0.789139
2.98567,0.789867
3.00252,0.788101
3.01845,0.76918
3.03456,0.795425
3.05092,0.804573
3.06789,0.824806
3.08467,0.822502
3.10201,0.845543
3.11873,0.839226
3.13503,0.848976
3.15138,0.839988
3.16805,0.849296
3.18489,0.839
3.20125,0.838573
3.21822,0.831218
3.23445,0.835125
3.25099,0.842983
3.26741,0.858852
3.28438,0.877529
3.30141,0.895778
3.31844,0.906345
3.33553,0.903904
3.35201,0.909062
3.368,0.90012
3.38429,0.893395
3.40144,0.879113
3.41823,0.878369
3.43514,0.878969
3.45131,0.876417
3.46696,0.888837
3.4832,0.905317
3.49962,0.921399
3.51695,0.920339
3.53453,0.937398
3.55205,0.941625
3.56841,0.950895
3.58507,0.940503
3.60173,0.945699
3.6187,0.944171
3.63524,0.93733
3.65178,0.937663
3.66832,0.953586
3.68443,0.953769
3.70067,0.963962
3.71733,0.970126
3.73454,0.976581
3.75151,0.976245
3.76884,1.00188
3.78508,1.0009
3.80144,1.01555
3.81792,1.00717
3.83452,1.01316
3.85136,0.99985
3.86784,0.995685
3.88463,0.981799
