"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0730461
-2.71634e-05,0.0799602
-5.43264e-05,0.0586995
-5.43264e-05,0.0741662
-2.05352e-07,0.0711421
0.00567666,0.0734652
0.0161823,0.069971
0.0275578,0.0929812
0.0389713,0.0984286
0.0499729,0.110971
0.0622257,0.0993222
0.0724949,0.0923032
0.0832676,0.088931
0.0946354,0.0868253
0.10727,0.0952328
0.119751,0.087844
0.133179,0.100471
0.147461,0.11576
0.157471,0.109443
0.16803,0.127326
0.1792,0.12931
0.190308,0.141151
0.201691,0.144508
0.21399,0.155318
0.226288,0.166427
0.238282,0.17427
0.250733,0.176871
0.26352,0.170371
0.277069,0.171694
0.291108,0.168779
0.30539,0.161238
0.319764,0.161192
0.334961,0.167948
0.34961,0.169169
0.364655,0.170659
0.380036,0.176678
0.396149,0.188763
0.413178,0.205945
0.430146,0.212643
0.447174,0.21513
0.463471,0.219555
0.479523,0.220105
0.495819,0.210248
0.512482,0.213502
0.529511,0.194489
0.546235,0.199341
0.562958,0.191224
0.579194,0.199647
0.595856,0.213807
0.612519,0.236817
0.629731,0.23597
0.647126,0.244897
0.664338,0.263512
0.680329,0.266709
0.696198,0.276673
0.712616,0.293275
0.729523,0.29638
0.746918,0.285302
0.763337,0.283654
0.779877,0.284264
0.795868,0.287064
0.812226,0.295731
0.828522,0.299996
0.845307,0.310311
0.862763,0.312363
0.879975,0.31952
0.896943,0.338227
0.9133,0.346131
0.930085,0.352952
0.946808,0.356965
0.963654,0.361153
0.980133,0.341988
0.996857,0.351433
1.01315,0.338258
1.02908,0.358278
1.04532,0.36049
1.06204,0.373918
1.07932,0.384477
1.09616,0.393541
1.11337,0.402605
1.12979,0.40636
1.14664,0.417102
1.16324,0.413089
1.18015,0.421802
1.19699,0.414157
1.21371,0.377353
1.23013,0.417087
1.246,0.395206
1.26193,0.426089
1.27841,0.422156
1.29599,0.476966
1.31369,0.427161
1.3309,0.45713
1.34757,0.455299
1.36331,0.442481
1.37912,0.448867
1.39584,0.464736
1.41263,0.475944
1.42899,0.445121
1.44669,0.483817
1.46335,0.45684
1.47952,0.460624
1.4957,0.452598
1.51224,0.485069
1.5289,0.471517
1.54606,0.506078
1.56352,0.53182
1.57969,0.539161
1.59648,0.529731
1.61338,0.538597
1.63035,0.523986
1.64707,0.503478
1.66343,0.500988
1.67967,0.522167
1.69572,0.521492
1.71226,0.533058
1.72904,0.54258
1.74644,0.55262
1.7631,0.532783
1.78037,0.545235
1.79685,0.556267
1.81333,0.569149
1.82945,0.576054
1.84648,0.588123
1.86381,0.595341
1.88053,0.590712
1.89652,0.583578
1.91233,0.56658
1.92893,0.570631
1.94609,0.57881
1.96318,0.595747
1.97978,0.606642
1.99668,0.639296
2.01335,0.652082
2.02922,0.642263
2.04521,0.631674
2.06193,0.625511
2.07945,0.618004
2.0958,0.603752
2.11344,0.612755
2.13047,0.627235
2.14677,0.64167
2.16288,0.646614
2.17954,0.652641
2.19651,0.652153
2.21348,0.651543
2.23008,0.657692
2.24607,0.670357
2.26255,0.683876
2.27909,0.686745
