"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0990357
-2.7163e-05,0.105049
-5.43259e-05,0.102263
-8.14889e-05,0.10713
-8.14889e-05,0.0943834
0.00548201,0.0970671
0.0158885,0.0963671
0.02718,0.126763
0.0385936,0.14077
0.0492442,0.14156
0.0615733,0.143847
0.071873,0.137804
0.0824931,0.147845
0.0937388,0.159815
0.105824,0.169813
0.118763,0.171354
0.13271,0.170838
0.147145,0.167019
0.161824,0.143612
0.172718,0.147663
0.18401,0.146412
0.194966,0.141194
0.206379,0.139012
0.218251,0.155674
0.229908,0.156819
0.242329,0.167433
0.255665,0.186873
0.268757,0.198256
0.282307,0.214522
0.29665,0.232344
0.310871,0.240462
0.325886,0.239393
0.341053,0.239092
0.356526,0.233202
0.372456,0.21422
0.388264,0.210764
0.404377,0.212488
0.419941,0.211413
0.435871,0.213618
0.452229,0.219607
0.468952,0.233248
0.486042,0.244478
0.502827,0.251986
0.520405,0.276583
0.537068,0.296145
0.553303,0.304003
0.56966,0.296988
0.586201,0.305085
0.60323,0.284089
0.620014,0.282166
0.636494,0.278413
0.652363,0.285592
0.668721,0.294976
0.685688,0.306603
0.703083,0.307166
0.720417,0.313559
0.737629,0.319899
0.754109,0.332488
0.769856,0.336811
0.785969,0.355122
0.802632,0.364292
0.818989,0.356747
0.835591,0.338589
0.85384,0.339174
0.87032,0.326418
0.886372,0.337068
0.902424,0.361483
0.918537,0.382448
0.935993,0.397478
0.953266,0.417269
0.970356,0.416048
0.98647,0.413607
1.00289,0.409456
1.01931,0.401869
1.03615,0.409597
1.05269,0.398062
1.06978,0.40531
1.08657,0.404623
1.10311,0.424032
1.11947,0.412527
1.13631,0.424459
1.15352,0.42478
1.17019,0.439215
1.18715,0.443434
1.20333,0.456251
1.22005,0.465528
1.23647,0.468424
1.25307,0.473246
1.27028,0.459024
1.28743,0.453379
1.3041,0.447622
1.31969,0.460073
1.33516,0.458389
1.35158,0.477676
1.36885,0.498367
1.38546,0.509567
1.40316,0.514812
1.42067,0.52412
1.43728,0.528603
