"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",26,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0735431
-4.63956e-10,0.0662322
-2.71634e-05,0.0714584
-2.71634e-05,0.0643401
0.00230827,0.0800681
0.0127911,0.0855642
0.0233044,0.0876088
0.0343288,0.101052
0.0449184,0.0881696
0.0561947,0.0826688
0.0688747,0.072598
0.0796322,0.0824552
0.0904964,0.0720487
0.101879,0.0646262
0.114544,0.0739036
0.12788,0.0667167
0.142224,0.0681205
0.152356,0.0827918
0.163067,0.0829444
0.17387,0.0980506
0.184735,0.100812
0.196301,0.126153
0.207714,0.123529
0.219616,0.128109
0.232037,0.132114
0.244305,0.125057
0.257367,0.107368
0.270947,0.100914
0.284344,0.0909574
0.298504,0.0782316
0.31297,0.0755232
0.327038,0.0805738
0.341748,0.0841673
0.356976,0.0921934
0.372967,0.108002
0.388775,0.113388
0.404644,0.114734
0.421734,0.121227
0.438458,0.125278
0.455059,0.122074
0.471295,0.122591
0.48753,0.132814
0.504132,0.121874
0.520794,0.110948
0.537823,0.0973528
0.554181,0.101076
0.570904,0.0888384
0.58775,0.103044
0.605023,0.125231
0.621807,0.145372
0.63847,0.160402
0.65495,0.170126
0.671185,0.161245
0.68742,0.155645
0.704083,0.13764
0.721112,0.112615
0.738079,0.100958
0.755169,0.108358
0.771344,0.101675
0.788128,0.127035
0.804608,0.133825
0.821148,0.154577
0.838177,0.146475
0.854657,0.15856
0.871685,0.152365
0.887738,0.168722
0.903973,0.168478
0.920819,0.1807
0.938214,0.170812
0.955548,0.16229
0.972882,0.149748
0.989361,0.128294
1.00474,0.137449
1.02012,0.139295
1.03672,0.148252
1.05394,0.159147
1.07066,0.178373
1.0883,0.172468
1.10508,0.183058
1.12162,0.189329
1.13755,0.188017
1.15373,0.18495
1.171,0.184614
1.18821,0.173818
1.2053,0.170515
1.22148,0.16995
1.23765,0.171232
1.25419,0.177366
1.27122,0.191831
1.28801,0.196195
1.30485,0.202451
1.32176,0.217222
1.33818,0.210363
1.35447,0.202276
1.37144,0.20149
1.38871,0.195322
1.40519,0.17103
1.42204,0.172237
1.43821,0.17284
1.45445,0.185352
1.47032,0.186664
1.48692,0.212604
1.50413,0.225605
1.52128,0.243427
1.53856,0.233295
1.5551,0.243259
1.572,0.239307
1.58754,0.229679
1.60395,0.228115
1.62062,0.215786
1.63765,0.212398
1.65419,0.199062
1.67079,0.200405
1.68715,0.191845
1.70369,0.200939
1.72096,0.207042
1.73787,0.224529
1.75508,0.248149
1.77137,0.257762
1.78804,0.259975
1.80446,0.253669
1.8213,0.245551
1.83839,0.213996
1.85493,0.198402
1.87184,0.201896
1.88777,0.196281
1.904,0.200309
1.92048,0.211814
1.93782,0.224517
1.95485,0.217414
1.97187,0.236045
1.98854,0.246932
2.00465,0.26213
2.02089,0.261825
2.03773,0.276351
2.05482,0.268035
2.07148,0.242645
2.08839,0.229614
2.10469,0.214027
2.12104,0.218576
2.13752,0.220956
2.15406,0.255685
2.17115,0.261545
2.18794,0.285852
2.20527,0.282113
2.22157,0.287282
2.23799,0.273122
2.25435,0.271352
2.2715,0.269765
2.2884,0.258077
2.30488,0.255143
2.32161,0.25129
2.33784,0.260003
2.35402,0.264916
2.37062,0.274224
2.38783,0.27189
2.4048,0.290231
2.42195,0.296777
2.43824,0.301095
2.45472,0.306558
2.47102,0.312127
2.48787,0.297982
2.50489,0.279214
2.52144,0.262826
2.53837,0.257673
2.55436,0.251997
2.57103,0.250899
2.58757,0.252021
2.60454,0.26789
2.6212,0.269965
2.63829,0.290839
2.65519,0.296699
2.67137,0.314857
2.68779,0.309585
2.70457,0.322311
2.7216,0.306838
2.73802,0.294509
2.75511,0.301681
2.77116,0.301223
2.78752,0.307525
2.80388,0.312316
2.82066,0.329742
2.83793,0.315353
2.85466,0.330596
2.87187,0.330978
2.88786,0.344711
2.90452,0.338058
2.92106,0.343013
2.93821,0.360332
2.95512,0.335979
2.97185,0.313228
2.98839,0.32159
3.00438,0.330104
3.02067,0.305507
3.03734,0.314876
3.05467,0.334163
3.07139,0.339076
3.08842,0.340541
3.10484,0.345546
3.12163,0.358119
3.13749,0.355251
3.15416,0.373134
3.17174,0.368091
3.18834,0.350391
3.205,0.341596
3.22209,0.333295
3.23881,0.325299
3.25487,0.304731
3.27159,0.330304
3.28831,0.33183
3.30485,0.360578
3.32145,0.348554
3.33787,0.382489
3.3546,0.379438
3.3712,0.378583
3.38835,0.37408
3.40519,0.376537
3.4218,0.374599
3.43809,0.36935
3.45433,0.387996
3.47056,0.378375
3.48729,0.38779
3.50474,0.390979
3.52165,0.389056
3.53874,0.391788
3.55528,0.390903
3.57194,0.385959
3.58824,0.389255
3.60466,0.407993
3.62065,0.386874
3.63725,0.385181
3.65471,0.390343
3.67106,0.383438
3.68736,0.367905
3.70402,0.381455
3.72117,0.394272
3.7379,0.396162
3.7548,0.409636
3.77128,0.420195
3.78825,0.430922
3.80498,0.426741
3.82194,0.419554
3.83915,0.4196
3.85508,0.418791
3.87114,0.412192
3.88731,0.402701
3.90404,0.410345
3.92058,0.400465
3.9373,0.40785
3.95439,0.407244
3.97172,0.427416
3.98881,0.432207
4.00505,0.4499
4.02116,0.455912
4.0377,0.465952
4.05485,0.461817
4.07164,0.447291
4.08842,0.427698
4.10478,0.409571
4.12102,0.395754
4.13749,0.40225
4.1541,0.410521
4.17125,0.423811
4.18803,0.445563
4.20512,0.469607
4.22148,0.471972
4.23814,0.476427
4.25456,0.479975
4.27141,0.472132
4.28813,0.459536
4.30443,0.454363
4.32133,0.471575
4.33732,0.470385
4.35374,0.480028
4.37059,0.484629
4.38804,0.496611
4.40501,0.479765
4.42198,0.484099
4.43846,0.490721
4.45488,0.491221
4.47111,0.487192
4.48778,0.492178
4.50462,0.483236
4.52122,0.456381
4.53831,0.447287
4.55528,0.444723
4.57127,0.44631
4.58714,0.443716
4.60405,0.46398
4.6215,0.470587
4.63859,0.48905
4.65507,0.494978
4.67067,0.508955
4.68739,0.510039
4.70393,0.52661
4.72127,0.505491
4.73836,0.497557
4.75508,0.487456
4.77113,0.483763
4.78737,0.473597
4.80385,0.491753
4.82063,0.504875
4.83784,0.511543
4.85487,0.514134
4.87196,0.531651
4.88795,0.521321
4.90474,0.527722
4.92146,0.532276
4.93818,0.524983
4.95552,0.503468
4.97212,0.511509
4.98866,0.499222
5.00435,0.494152
5.02076,0.512707
5.03731,0.516701
5.05433,0.525154
5.07124,0.515965
5.08815,0.538731
5.10505,0.525822
5.12147,0.548344
5.13783,0.525242
5.15455,0.54385
5.17177,0.51553
5.18861,0.530605
5.20527,0.511501
5.22096,0.53384
5.23707,0.540249
5.25367,0.55444
