"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",24,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0984063
-2.7163e-05,0.0867839
-2.7163e-05,0.0846925
-2.7163e-05,0.081944
0.00246979,0.105528
0.0131433,0.12699
0.0235727,0.127345
0.0346048,0.144883
0.044996,0.15092
0.0565469,0.160964
0.0693185,0.177131
0.0799539,0.194404
0.0912302,0.216651
0.103498,0.237983
0.116285,0.249198
0.129255,0.260951
0.143446,0.278469
0.158369,0.296535
0.168714,0.311946
0.179762,0.318664
0.191053,0.338745
0.202558,0.34103
0.215071,0.358669
0.227766,0.376247
0.239851,0.396938
0.252241,0.398601
0.265272,0.419963
0.278822,0.436382
0.293134,0.459331
0.307264,0.478374
0.321333,0.504802
0.336256,0.530376
0.350996,0.54948
0.366346,0.567241
0.381696,0.585369
0.397932,0.60606
0.414778,0.611582
0.431501,0.632212
0.448652,0.635951
0.464948,0.656641
0.481489,0.676264
0.497968,0.697566
0.514753,0.72201
0.531904,0.745753
0.548811,0.76092
0.565351,0.772257
0.581098,0.797007
0.597028,0.800364
0.613813,0.819132
0.631574,0.824931
0.648603,0.837016
0.665144,0.857523
0.681196,0.875285
0.697492,0.901072
0.714277,0.927256
0.730451,0.954966
0.747236,0.975474
0.764814,1.00587
0.782293,1.02353
0.798406,1.05221
0.814459,1.07822
0.830816,1.0889
0.847601,1.10693
0.864629,1.11215
0.881536,1.12665
0.898626,1.13773
0.9148,1.16648
0.93128,1.18308
0.948065,1.21408
0.96491,1.233
0.981695,1.248
0.998419,1.26001
1.01496,1.28437
1.03119,1.30002
1.04749,1.31403
1.06446,1.33408
1.08155,1.35428
1.09827,1.37152
1.11536,1.38693
1.13141,1.40634
1.14802,1.42831
1.16456,1.43644
1.1814,1.45677
1.19855,1.47309
1.21546,1.50055
1.23231,1.52417
1.24796,1.55323
1.26371,1.56931
1.28031,1.58912
1.29783,1.60877
1.31455,1.61905
1.33109,1.64341
1.34745,1.65644
1.36356,1.68171
1.38053,1.68781
1.39799,1.72028
1.41508,1.73703
1.43076,1.76718
1.44828,1.7897
1.46506,1.81467
1.48154,1.83258
1.49814,1.84702
1.51493,1.8609
1.53177,1.87897
1.54844,1.89917
1.56504,1.91046
1.5814,1.93823
1.59781,1.96246
1.61429,1.97871
1.63126,2.00221
1.64823,2.02895
1.66526,2.05385
1.68168,2.07626
1.69773,2.10465
1.71415,2.11288
1.73105,2.13416
1.74814,2.14926
1.76505,2.16084
1.78208,2.17629
1.79831,2.19975
1.81467,2.21523
1.83109,2.22125
1.84812,2.24109
1.86509,2.25678
1.88151,2.27814
1.89805,2.30188
1.91422,2.32904
1.93058,2.34604
1.9473,2.36108
1.96427,2.38409
1.98124,2.38532
1.99827,2.40107
2.01536,2.41737
2.03177,2.44881
2.04789,2.46135
2.06443,2.49291
2.08182,2.51064
2.09867,2.52791
2.11564,2.52701
2.13151,2.5495
2.14756,2.55736
2.16385,2.57683
2.18082,2.59172
2.19791,2.61095
2.21464,2.62817
2.23166,2.6496
2.24808,2.6684
2.26432,2.68343
2.28086,2.70641
2.29807,2.7188
2.31516,2.73273
2.33188,2.7468
2.34836,2.76849
2.36454,2.78644
2.38071,2.80151
2.39731,2.8179
2.4144,2.83542
2.43155,2.84802
2.44877,2.85896
2.46512,2.8745
2.48136,2.89793
2.49766,2.91036
2.51438,2.93092
2.53141,2.95458
2.54838,2.9763
2.5651,2.99544
2.58091,3.01692
2.59739,3.03639
2.61423,3.05516
2.63151,3.07707
2.64817,3.08814
2.6652,3.10474
2.6821,3.12207
2.69828,3.1463
2.71457,3.16315
2.73142,3.17862
2.74857,3.20731
2.76511,3.23196
2.78159,3.24393
2.79764,3.25989
2.814,3.28931
2.8306,3.29526
2.84745,3.30193
2.86466,3.3049
2.88169,3.32349
2.89847,3.33301
2.91379,3.35388
2.93058,3.38208
2.94742,3.40753
2.96525,3.42876
2.98234,3.44817
2.99863,3.4691
3.01505,3.47447
3.03129,3.49663
3.04758,3.50654
3.06443,3.51725
3.08152,3.52964
3.0983,3.55277
3.11521,3.563
3.13169,3.57978
3.14805,3.60484
3.16422,3.62479
3.18107,3.64411
3.19822,3.67036
3.21476,3.69532
3.23154,3.71738
3.24778,3.73307
3.26438,3.74867
3.2811,3.76634
3.29807,3.78031
3.31504,3.77511
3.33213,3.79046
3.34879,3.7959
3.36503,3.81851
3.38102,3.83658
3.39713,3.86929
3.41422,3.89505
3.43101,3.92617
3.4481,3.93771
3.46482,3.95079
3.48112,3.97059
3.49753,3.98233
3.51438,3.99822
3.53135,4.00863
3.54783,4.02752
3.56486,4.03825
3.58097,4.04339
3.59751,4.0556
3.61405,4.07238
3.63157,4.09011
3.6486,4.10845
3.6652,4.13793
3.6818,4.15673
3.69791,4.18444
3.71415,4.19565
3.73087,4.20798
3.74814,4.21845
3.76468,4.23078
3.78184,4.23154
3.79819,4.24264
3.81461,4.26275
3.83085,4.28314
3.848,4.30463
3.86509,4.32236
3.88163,4.34341
3.89866,4.35596
3.91471,4.37218
3.93094,4.38412
3.94724,4.40313
3.96421,4.41848
3.98148,4.43532
3.99839,4.44808
4.01517,4.47072
4.03129,4.48792
4.04758,4.51081
4.06431,4.52506
4.08152,4.54145
4.09818,4.55195
4.11496,4.57868
4.13102,4.5951
4.14683,4.62501
4.16379,4.63459
4.18143,4.65925
4.19901,4.65963
4.21555,4.66496
4.23234,4.67588
4.24833,4.70236
4.26468,4.71207
4.28098,4.72446
4.29838,4.75693
4.31577,4.76468
4.33243,4.78916
4.34864,4.80677
4.3642,4.8357
4.38019,4.83956
4.39655,4.86947
4.41382,4.86683
4.43128,4.87765
4.44886,4.89059
4.46576,4.90533
4.48194,4.91885
4.49787,4.93643
4.51447,4.9603
4.5318,4.98239
4.54841,5.0065
4.56519,5.01794
4.58137,5.03964
4.59809,5.0578
4.61432,5.0726
4.63099,5.08386
4.64863,5.09128
4.66565,5.10718
4.68186,5.11676
4.69724,5.13239
4.71341,5.14557
4.73032,5.16059
4.74741,5.18375
4.76389,5.20401
4.78122,5.22315
4.79831,5.24237
4.81455,5.26935
4.83085,5.27985
4.84781,5.29175
4.86503,5.28482
4.88175,5.30643
4.89884,5.32877
4.91489,5.34296
4.93119,5.3606
4.94767,5.38874
4.96453,5.40239
4.98168,5.40355
4.99852,5.42626
5.01531,5.44088
5.03136,5.4634
5.04772,5.47333
5.0645,5.49481
5.08184,5.50047
5.09844,5.51823
5.11492,5.52647
5.13085,5.53858
5.14727,5.55619
5.16356,5.57722
5.18078,5.59882
5.19841,5.62592
5.21605,5.64759
5.2332,5.66676
5.24837,5.68873
5.26409,5.70435
5.28051,5.70435
5.29741,5.72263
5.31456,5.73339
5.33104,5.7362
5.34771,5.7518
5.36443,5.77762
5.38128,5.7966
5.39788,5.81123
5.41491,5.84211
5.43151,5.85832
5.44805,5.88658
5.46465,5.90248
5.48089,5.9329
5.49724,5.94107
5.51439,5.95177
5.53191,5.94909
5.54863,5.96685
5.56548,5.97067
5.58153,5.99145
5.59819,6.01306
5.61461,6.03826
5.63158,6.06036
5.64849,6.08044
5.66521,6.09577
5.682,6.1106
5.69793,6.12968
5.71422,6.1345
5.73076,6.15251
5.74773,6.16265
5.7647,6.17638
5.78185,6.18806
5.79851,6.20067
5.81487,6.21233
5.8311,6.22948
5.84765,6.25224
5.86461,6.27065
5.88103,6.28981
5.89782,6.31282
5.91393,6.32869
5.93071,6.33386
5.94768,6.34412
5.96459,6.36582
5.98174,6.37258
5.99865,6.39107
6.01525,6.40468
6.03124,6.42428
6.04766,6.43335
6.0645,6.44882
6.08165,6.46728
6.09862,6.48245
6.11535,6.50203
6.13164,6.52333
6.14782,6.53892
6.16448,6.54968
6.1812,6.56442
6.19768,6.57205
6.2141,6.5834
6.23107,6.59701
6.24749,6.60983
6.26427,6.62576
6.28087,6.64023
6.29778,6.65164
6.31499,6.66827
6.3319,6.68139
6.34899,6.7113
6.36486,6.7323
6.38109,6.75488
6.39776,6.77224
6.41472,6.79031
6.43157,6.78544
6.44823,6.79267
6.46483,6.79788
6.48113,6.8092
6.49743,6.82903
