"Specimen width",5.97,"mm"
"Specimen thickness",4.35,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0955364
-2.7163e-05,0.111104
-5.43259e-05,0.0905449
-8.13864e-05,0.1137
8.14702e-05,0.112208
0.00868743,0.104963
0.0187964,0.116437
0.0307211,0.117841
0.0432333,0.139069
0.0546469,0.150509
0.0675711,0.157105
0.0782828,0.16523
0.0897879,0.179135
0.10172,0.193547
0.114034,0.211216
0.12734,0.226048
0.140859,0.244725
0.155294,0.26804
0.165517,0.28397
0.176259,0.305272
0.18752,0.318882
0.199453,0.33405
0.211599,0.339459
0.223989,0.347165
0.236684,0.354901
0.24883,0.357682
0.260976,0.359818
0.27419,0.379837
0.287954,0.388413
0.302083,0.398346
0.316823,0.419129
0.331869,0.436821
0.347341,0.456963
0.361928,0.480278
0.376943,0.507195
0.392476,0.525139
0.408895,0.546013
0.426107,0.554017
0.442647,0.566697
0.460042,0.582627
0.476461,0.589447
0.492757,0.605317
0.509969,0.629914
0.527303,0.659577
0.544149,0.668549
0.560689,0.693879
0.577169,0.718232
0.59255,0.739533
0.608144,0.757813
0.625051,0.786377
0.642812,0.814759
0.660024,0.823487
0.677053,0.843934
0.693838,0.849577
0.709951,0.865279
0.72643,0.871817
0.743093,0.890738
0.760061,0.909201
0.776723,0.939047
0.793508,0.957327
0.809804,0.981131
0.825979,1.00939
0.842519,1.01157
0.85967,1.02943
0.876455,1.03904
0.892629,1.06132
0.909841,1.07236
0.926015,1.09727
0.942495,1.11249
0.959402,1.13367
0.976797,1.15589
0.99352,1.17374
1.00994,1.20182
1.0263,1.2255
1.04229,1.25254
1.05852,1.25986
1.07537,1.28562
1.0927,1.28995
1.10985,1.29955
1.12731,1.30654
1.14373,1.32033
1.16027,1.32937
1.17675,1.342
1.19396,1.35952
1.21105,1.37118
1.22715,1.39088
1.24332,1.40675
1.25877,1.43421
1.27494,1.45319
1.29154,1.48267
1.30857,1.49769
1.32584,1.50524
1.34367,1.51454
1.36112,1.5222
1.37742,1.53045
1.39372,1.53762
1.41019,1.55938
1.42716,1.57711
1.44358,1.5899
1.46006,1.61248
1.47599,1.64416
1.4918,1.66622
1.5084,1.6802
1.52549,1.70755
1.54258,1.71579
1.55936,1.72213
1.57694,1.73443
1.59342,1.74694
1.60996,1.75284
1.62681,1.76554
1.64396,1.78058
1.66068,1.78992
1.67704,1.81336
