"Specimen width",5.97,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.129561
0,0.139495
0,0.110584
0,0.108701
0,0.127828
0.00116718,0.136747
0.0120543,0.108283
0.0222396,0.135648
0.0329207,0.149976
0.045494,0.140094
0.0569838,0.151675
0.0701064,0.142841
0.0810164,0.146579
0.0925673,0.136897
0.1045,0.127086
0.117897,0.128699
0.13163,0.133464
0.145546,0.145732
0.16053,0.158092
0.170814,0.157573
0.18232,0.148967
0.194649,0.149394
0.206245,0.143962
0.217628,0.141689
0.229683,0.155725
0.242073,0.163949
0.254463,0.182321
0.267494,0.1811
0.280647,0.179577
0.294716,0.169354
0.309517,0.16634
0.324196,0.146198
0.339363,0.137242
0.354805,0.136723
0.36985,0.125157
0.385597,0.122136
0.401771,0.11662
0.418495,0.125363
0.435097,0.115963
0.451576,0.123852
0.468239,0.139615
0.484169,0.154355
0.500465,0.150608
0.517189,0.164082
0.534157,0.170712
0.551185,0.150174
0.568519,0.140927
0.585365,0.148022
0.601906,0.139777
0.618019,0.135748
0.634987,0.150122
0.652016,0.160256
0.668312,0.153298
0.684914,0.171547
0.700722,0.179741
0.716316,0.182656
0.732735,0.188296
0.750435,0.181429
0.768013,0.175417
0.785408,0.162737
0.802193,0.162341
0.818611,0.154269
0.835152,0.158205
0.851997,0.146922
0.869148,0.150799
0.885383,0.137791
0.901375,0.13831
0.917488,0.142331
0.933723,0.169796
0.949837,0.172062
0.966621,0.176457
0.984321,0.179463
1.00166,0.186914
1.01893,0.156518
1.03529,0.14953
1.05164,0.158029
1.06794,0.14931
1.08497,0.148006
1.102,0.154521
1.11842,0.16743
1.13477,0.17007
1.15064,0.182567
1.16694,0.189128
1.18391,0.195874
1.2013,0.187032
1.21845,0.182935
1.23542,0.169599
1.2519,0.158811
1.26801,0.157605
1.28419,0.171201
1.30103,0.172116
1.318,0.180051
1.33479,0.176236
1.35181,0.181024
1.36787,0.179233
1.38416,0.178379
1.40052,0.189726
1.41749,0.200209
1.43476,0.200273
1.45185,0.200228
1.46888,0.201784
1.48542,0.191049
1.50172,0.185198
1.51826,0.182443
1.53492,0.189173
1.55122,0.190454
1.56806,0.209925
1.58436,0.209772
1.60053,0.221094
1.61695,0.220972
1.6338,0.220918
1.65083,0.205721
1.66804,0.205477
1.68507,0.205767
1.70155,0.194399
1.71821,0.202635
1.73493,0.199972
1.75147,0.20809
1.7685,0.199102
1.78516,0.196874
1.80158,0.193731
1.81745,0.197439
1.83363,0.196768
1.85017,0.200117
1.86732,0.204832
1.88453,0.196668
1.9018,0.202116
1.91859,0.203901
1.93507,0.205595
1.95142,0.196089
1.96833,0.199705
1.98542,0.195417
2.00172,0.186048
2.0185,0.199148
2.03431,0.210913
2.05067,0.222448
2.06751,0.229315
2.08399,0.2432
2.10053,0.217932
2.11756,0.227297
2.13508,0.225862
2.15162,0.228945
2.16804,0.217401
2.18458,0.214807
2.20185,0.211435
2.21845,0.192514
2.23493,0.195562
2.25105,0.211187
2.26679,0.243109
2.28272,0.24584
2.29957,0.265951
2.31782,0.256712
2.33552,0.250303
2.35273,0.239775
2.36878,0.232923
2.38514,0.224195
2.40156,0.21887
2.41853,0.238951
2.43537,0.229109
2.45173,0.234083
2.46839,0.243757
2.48432,0.249372
2.50084,0.250548
2.51695,0.254454
2.53361,0.258345
2.55077,0.254535
2.56792,0.264415
2.5847,0.241161
2.60149,0.237018
2.61815,0.229557
2.63554,0.226444
2.65263,0.218204
2.66887,0.220668
2.68541,0.242092
2.70116,0.242671
2.71751,0.249752
2.73399,0.256477
2.75078,0.261077
2.76762,0.248306
2.78514,0.239334
2.80278,0.25035
2.81883,0.239196
2.83458,0.249008
2.85094,0.244178
2.86766,0.262428
2.88426,0.245704
